conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/75d8e5d9-bef3-418b-9011-01bff9f27207,skill/competence,transversal,تولي قيادة الآخرين,released,,"إرشاد الآخرين وتدريبهم وتوجيههم نحو تحقيق الأهداف المشتركة، والإضطلاع بدور قيادي في كثير من الأحيان لمجموعة أو فريق.
 
 والأداء والعمل والتصرف بطريقة تلهم المتعاونين ليحذوا حذو مديريهم.
	",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,قيادة الآخرين
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/77b636e8-fab3-41a8-8022-1e0a354059dc,skill/competence,transversal,إظهار التعاطف,released,,إظهار التعاطف من أجل منع أي نوع من أنواع العنف الرمزي والعزلة وضمان الاهتمام بمراعاة شعور الجميع. ينبغي أن تشمل القدرة على فهم مختلف وسائل التواصل اللفظي وغير اللفظي للعواطف والمشاعر.,http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,دعم الآخرين
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74,skill/competence,transversal,التفاوض للوصول إلى حل وسط,released,,التواصل مع الآخرين بقصد التوصل إلى تفاهم مشترك أو حل نقطة خلاف، دون إغفال آراء المرء أو الآخرين أو أهدافهم.,http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,تبادل الاتصال
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a147904-22b3-498a-b4d9-7bceeb86b45d,skill/competence,transversal,التعامل مع الضغوط,released,,"مواجهة التحديات والاضطرابات والتعافي بعد الصدمات والنكسات.
  ",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,تبني موقف إيجابي باستمرار
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a93e22f-54d8-4bf0-9213-d711f6601b49,skill/competence,transversal,العمل بكفاءة,released,,تحقيق الأهداف باستخدام الحد الأدنى من الوقت أو الجهد أو التكلفة.,http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,العمل الفعال
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12,skill/competence,transversal,المشاركة النشطة في الحياة المدنية,released,,"المشاركة بنشاط في أنشطة ذات مصلحة مشتركة أو عامة مثل المبادرات المدنية، والمجتمعية أو الجوار، والفرص التطوعية والمنظمات غير الحكومية.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,تطبيق المهارات والخبرات الخاصة بالمجتمع
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9,skill/competence,transversal,التفكير الناقد,released,,"إصدار الأحكام والدفاع عنها استنادًا إلى الأدلة الداخلية والمعايير الخارجية. تقدير ناقد لدرجة الثقة في المعلومات وصحتها قبل استخدامها أو نقلها للآخرين. تنمية ملكة التفكير الناقد والمستقل.
  ",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,معالجة المعلومات والأفكار والمفاهيم
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7f321b88-3d16-4e30-8163-5494ca8ce978,skill/competence,transversal,مشاركة الآخرين في التصرفات الرفيقة بالبيئة,released,,"التوعية وتشجيع السلوكيات الرفيقة بالبيئة من خلال شبكات التواصل الاجتماعي وفي العمل.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,تطبيق المهارات والخبرات الخاصة بالبيئة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,skill/competence,transversal,الإهتمام بالتفاصيل,released,,إنجاز المهام مع الاهتمام بجميع الجوانب المعنية مهما كانت صغيرة.,http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,العمل الفعال
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/88b0c49e-7c2e-4ccc-aca3-fbd4bbc2081c,skill/competence,transversal,أن تظل دائما على علم بنظام الرعاية الصحية واستعماله,released,,"التعرف واختيار الخدمات أو وكالات الوقاية والعلاج الصحيحة التي تقدم خدمات الرعاية الصحية والإدارة السليمة للعلاج المناسب.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,تطبيق المهارات والخبرات الخاصة بالصحة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/896a5e0c-7ac9-4e59-a9bf-17fdca6b1c37,skill/competence,transversal,نشر مبادئ الديمقراطية وسيادة القانون,released,,"القيام بدور نشط في نشر مبادئ الديمقراطية والعدالة الاجتماعية وسيادة القانون. مواجهة التمييز على أساس العرق أو الثقافة أو الجنس أو التوجه وكذلك التمييز القائم على الخلفية الاجتماعية أو مستوى التعليم أو المستوى الاقتصادي وذلك من خلال التقدير والإعلان عن مشاركة المجموعات المختلفة في أي عمل مخطط، بما فيه التشريع والسياسات أو البرامج.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,تطبيق المهارات والخبرات الخاصة بالمجتمع
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/93350886-a21b-4e61-a1b1-319a325c0f90,skill/competence,transversal,أن تعبر عن نفسك بشكل مبدع,released,,"أن تكون قادرا على استخدام الإشارات ، والرقص، والأدوات الموسيقية، والتمثيل أو الفنون الجميلة للتعبير عن إبداعك الشخصي.
  ",http://data.europa.eu/esco/skill/6115ff80-3d84-4e87-8e2b-6ede7ee004b4,تطبيق المهارات والخبرات الخاصة بالثقافة
